${0},,
Add Group,Ajouter un groupe,
Add Items,Ajouter des éléments,
Add Row,Ajouter une ligne,
Add Suppliers,Ajouter des fournisseurs,
Add Taxes,Ajouter des taxes,
Add a few customers to create your first sales invoice,Ajoutez quelques clients pour créer votre première facture de vente,
Add a few suppliers to create your first purchase invoice,Ajoutez quelques fournisseurs pour créer votre première facture d'achat,
Add a filter,Ajouter un filtre,
Add a remark,Ajouter une remarque,
Add attachment,Ajouter un fichier attaché,
Add invoice terms,Ajouter votre politique de vente,
Add products or services that you buy from your suppliers,Ajoutez des produits ou services que vous achetez à vos fournisseurs,
Add products or services that you sell to your customers,Ajouter les produits ou services que vous vendez à vos clients,
Add quote terms,
Add transfer terms,Ajouter des conditions de transfert,
Add'l Discounts,Remises additionnelles,
Additional ${0} Serial Numbers required for ${1} quantity of ${2}.,"Le numéro de série additionnel ${0} est requis pour ${1}, quantité de ${2}."
Additional quantity (${0}) required${1} to make outward transfer of item ${2} from ${3} on ${4},La quantité additionnelle (${0}) est requise${2} pour faire un transfert sortant de l'entrée ${2} depuis ${3} vers ${4}.,
Address,Adresse,
Address Display,Affichage de l'adresse,
Address Line 1,Ligne d'adresse 1,
Address Line 2,Ligne d'adresse 2,
Address Name,Nom donné à l'adresse,
Administrative Expenses,Dépenses administratives,
Alert,,
All,Tout,
Allow to bypass filters,Autoriser la désactivation des filtres,
Allowances Total,
Amount,Montant,
Amount Paid,Montant payé,
Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.,Le montant : ${0} et la déduction fiscale de : ${1} est inférieur au montant total alloué aux références : ${2}.,
Amount: ${0} is less than the total amount allocated to references: ${1}.,Le montant : ${0} est inférieur au montant total alloué aux références : ${1}.,
Amounts,Montants,
An entry is cancelled only if it is in the submitted state.,Une entrée est annulée seulement si elle est validée.,
An entry is submitted only if it is submittable and is in the saved state.,Une entrée est validée seulement si elle esty validable et enregistrée.,
An error occurred.,Une erreur s'est produite.,
And,,
Annual Leave,Congé annuel,
Annual Wage Declaration (DAS),Déclaration annuelle des salaires (DAS),
Applicable anywhere in Frappe Books,
Applicable when POS is open,
Applicable when Quick Search is open,
Applicable when Template Builder is open,
Applicable when a entry is open in the Form view or Quick Edit view,
Applicable when the List View of an entry type is open,
Application of Funds (Assets),Application des fonds (bien actifs),
Applied Coupon Codes,
Applied Items,
Apply,,
Apply Discount After Tax,Appliquer la remise après les taxes,
Apply Price List,
Apply and view changes made to the print template,Enregistre et visualise les changements faits au patron d'impression,
Approved,,
Apr,,
April,Avril,
Arial,,
Ascending Order,Ordre Croissant,
Asset,Bien actif,
Attach Image,Attacher une image,
Attachment,Fichiers attachés,
Attendance,,
Aug,,
August,Août,
Auth Token,
Auto Payments,Paiements automatiques,
Auto Stock Transfer,
Autocomplete,Autocomplétion,
Available Loyalty Points,
Back,Retour,
Back Reference,Référence inverse,
"Bad import data, could not read file.","Données d'import incorrectes, ne peut pas lire le fichier."
Balance,Balance,
Balance Amount,
Balance Sheet,Bilan Comptable,
Bank,Banque,
Bank Accounts,Comptes bancaires,
Bank Details,
Bank Entry,Entrée bancaire,
Bank Name,Nom de la banque,
Bank Overdraft Account,Découvert bancaire,
Barcode,Code barre,
Barcode ${0} has an invalid length.,
Barcode must be exactly 12 digits.,
Base Grand Total,
Base Salary,Salaire de base,
Based On,Basé sur,
Batch,,
Batch ${0} does not belong to Item ${1},
Batch ${0} only has ${1} quantity available but ${2} is required,
Batch Series,
"Batch Series cannot contain the following characters: /, ?, &, =, %"
Batch not set for row ${0}.,
Batch set for row ${0}.,
Before 31 March ${0},
Bill Created,Facture créée,
Billing,Facturation,
Billion,,
Black,Noir,
Blue,Bleu,
Bonus,,
Both,Les deux,
Both From and To Location cannot be undefined,Il est nécessaire de spécifier au moins une une localisation : depuis ou vers,
Buildings,Bâtiments,
CHE-123.456.789,,
CIN,,
CNAS,CNAS,
CNAS Employee Rate,Taux CNAS salarié,
CNAS Employer Article Number,Numéro d'article CNAS de l'employeur
CNAS Employer Rate,Taux CNAS employeur,
CNAS Number,Numéro CNAS,
CNAS employer affiliation article number — the company's own CNAS registration reference (not the individual employee numbers). Legally required on all invoices per Article 11 of the Commercial Code.,Numéro d'article d'affiliation CNAS de l'employeur — la référence d'inscription CNAS de l'entreprise (et non les numéros individuels des employés). Obligatoire sur toutes les factures conformément à l'Article 11 du Code commercial.
CNAS employer article number,Numéro d'article CNAS de l'employeur
Can Change Discount,
Can Change Rate,
Cancel,Annuler,
Cancel ${0}?,Annuler ${0} ?,
Cancel Button Colour,
Cancel or Delete an entry.,Annule ou supprime une entrée.,
Cancelled,Annulé,
Cannot Commit Error,
Cannot Delete,Impossible à supprimer,
Cannot Delete Account,Ne peut supprimer le compte,
Cannot Export,Ne peut exporter,
Cannot Import,Ne peut importer,
Cannot Open File,Ne peut ouvrir le fichier,
Cannot add an item to a submitted invoice.,
Cannot cancel ${0} ${1} because of the following ${2}: ${3},Ne peut annuler ${0} ${1} parce-que ${2} : ${3},
Cannot cancel ${0} because of the following ${1}: ${2},Ne peut annuler ${0} parce-que ${1} : ${2},
"Cannot delete ${0} ""${1}"" because of linked entries.","Ne peut supprimer ${0} ""${1}"" à cause des entrées liées"
Cannot open file,Ne peut ouvrir le fichier,
Cannot perform operation.,Ne peut exécuter l'opération,
Cannot read file,Ne peut lire le ficheir,
Capital Equipments,Biens d'équipement,
Capital Social,Capital Social
Capital Stock,Capital social,
Cash,Espèces,
Cash Denominations,
Cash Entry,Entrée d'argent,
Cash In Denominations,
Cash In Hand,Liquidités en main,
Cashflow,Flux d'argent,
Casual,,
Casual Leave,Congé occasionnel,
Ceil,,
Ceiling for the professional expense abatement (DZD). Narrow-band smoothing only — see code comment in payroll.ts. Not applied to match the official worked example.,Plafond de l'abattement pour frais professionnels (DZD). Lissage à bande étroite uniquement — voir le commentaire dans payroll.ts. Non appliqué pour correspondre à l'exemple officiel.,
Central Tax,Impôt global,
Change DB,Changer la BDD,
Change File,Changer le ficher,
Change Ref Type,Changer le type de référence,
Changes made to settings will be visible on reload.,Les changements de préférences seront appliquées au rechargement,
Chargeable,Facturable,
Chart Of Accounts Reviewed,Graphique du compte sélectionné,
Chart of Accounts,Graphique des comptes,
Check,,
Check Digits,
City / Town,Ville / Village,
Classic,,
Clear,Effacer,
Clear Synced Data From ERPNext SyncQueue,
Clearance Date,Date d'autorisation,
Clearance Date not set.,
Clicking continue will remove all the selected items.,
Close,Fermer,
Close Frappe Books and try manually.,
Close POS Shift,Ferme le PdV,
Close Quick Search,Ferme la recherche rapide,
Closing,Fermeture,
Closing ${0} Amount can not be negative.,
Closing (Cr),Fermeture (Cr),
Closing (Dr),Fermeture (Dr),
Closing Amount,
Closing Amounts,
Closing Cash,
Closing Cash In Denominations,
Closing Date,
Code,Code,
Collapse,Réduire,
Collection Factor,
Collection Rules,
Color,Couleur,
Colour,,
Commission on Sales,Commission sur les ventes,
Common,Autres,
Company,Entreprise,
Company Logo,Logo de l'entreprise,
Company Name,Nom de l'entreprise,
Company Setup,Création d'entreprise,
Completed,Complété,
Condition,Condition,
Configure Header Footer,Configurer l'en-tête et le pied de page
Consolidate Columns,Consolider les colonnes,
Consumer,,
Contact,,
Contacts,Contacts,
Contains,Contient,
Continue,,
Continue submitting Sales Invoice?,Continuer de valider les factures de vente ?,
Contra Entry,Entrée contrat,
Conversion Error,Erreur de conversion,
Conversion Factor,Facteur de conversion,
Converted,,
Cost Of Goods Sold Acc.,Compte pour le coût des marchandises vendues,
Cost of Goods Sold,Coût des marchandises vendues,
"Could not connect to database file ${0}, please select the file manually","Ne peut se connecter au fichier de base de donnée ${0}, choisissez le fichier manuellement"
Count,Compteur,
Counter Cash Account,Compte de caisse,
Country,Pays,
Country Code,Code du Pays,
Country code used to initialize regional settings.,Code du Pays utilisé pour initialiser les réglages régionaux.,
Coupon ${0} is not applicable for applied items.,
Coupon Code,
Coupon Name,
Coupons,,
Courier,,
Cr.,,
Cr. ${0},
Create,Créer,
Create Demo,Créer une démo,
Create Payment.,
Create Purchase,Créer un achat,
Create Purchase Invoice,Créer une facture d'achat,
Create Sale,Créer une vente,
Create Sales Invoice,Créer une facture de vente,
Create a demo company to try out Frappe Books,
Create a new company and store it on your computer,
Create a new company or select an existing one from your computer,
Create a new entry of the same type as the List View,
Create new ${0} entry?,
Create your first purchase invoice from the created supplier,Créer votre première facture d'achat liée au fournisseur que vous venez de créer,
Create your first sales invoice for the created customer,Créer votre première facture de vente liée au client que vous venez de créer,
Created,Créé,
Created By,Créé par,
Creating Items and Parties,Créer des items et des partis,
Creating Journal Entries,Créer des entrées dans le livre des comptes,
Creating Purchase Invoices,Création de factures d'achats,
Credit,Crédit,
Credit Card Entry,Entrée Carte de Crédit,
Credit Note,Avoir,
Creditors,Créanciers,
Currency,Devise,
Currency Name,Nom de la devise,
Current,Actuel,
Current Assets,Actifs courants,
Current Liabilities,Passifs courants,
Custom Field,Champ personnalisé,
Custom Fields,Champs personnalisés,
Custom Form,Formulaire personnalisé,
Custom Hex,Hexadécimal custom,
Customer,Client,
Customer Created,Client créé,
Customer Currency,Monnaie du client,
Customer has no loyalty points to redeem,
Customers,Clients,
Customizations,Personnalisations,
Customize Form,Personnalisation de formulaire,
Customize your invoices by adding a logo and address details,Personnalisez vos factures en y ajoutant votre logo et adresse,
DAS - Annual Wages,DAS - Salaires annuels,
DTS - Quarterly Wages,DTS - Salaires trimestriels,
Dark mode,
Dashboard,Tableau de bord,
Data,Donnée,
Data Sync Interval (In Minutes),
Database Error,Erreur de base de donnée,
Database file: ${0},Fichier de base de données : ${0},
Date,Date,
Date Format,Format de la date,
Date Time,
Date of Birth,Date de naissance,
Day,Jour,
Debit,Débit,
Debit Note,Note de débit,
Debtors,Débiteurs,
Dec,,
December,Décembre,
Decrease print template display scale,Réduire la taille du patron d'impression,
Default,Valeur par défaut,
Default Account,Compte par défaut,
Default Cash Denominations,
Default Location,Emplacement par défaut,
Defaults,Valeurs par défaut,
Delete,Supprimer,
Delete ${0}?,Supprimer ${0} ?,
Delete Account,Supprimer le compte,
Delete Failed,Suppression échouée,
Delete Group,Supprimer le groupe,
Delivered,,
Denomination,,
Department,Département,
Depreciation,Amortissement,
Depreciation Entry,Entrée d'amortissement,
Description,Description,
Designation,Fonction,
Details,Détails,
Device ID,
Device is offline. Please connect to a network to continue.,
Difference Amount,Différence de montant,
Direct Expenses,Dépenses directes,
Direct Income,Revenu direct,
"Directory for database file ${0} does not exist, please select the file manually"
Disabled,,
Discount Account,Compte des réductions,
Discount Account is not set.,Le compte des réductions n'est pas défini.,
Discount Amount,Montant de la réduction,
Discount Amount (${0}) cannot be greated than Amount (${1}).,Le montant de la réduction (${0}) ne peut pas être plus grand que le montant (${1}).,
Discount Percent,Pourcentage de réduction,
Discount Percent (${0}) cannot be greater than 100.,Le pourcentage de réduction ne peut pas être plus grand que 100,
Discount Percentage,
Discount Type,
Discounted Amount,Montant de la réduction,
Discounts,Réductions,
Display Amount In Words,
Display Description In Invoice,
Display Doc,
Display Logo in Invoice,Afficher le logo sur la facture,
Display Precision,Précision de l'affichage,
Display Precision should have a value between 0 and 9.,La précision de l'affichage doit avoir une valeur comprise entre 0 et 9.,
Display Scale,
Display Terms and Conditions,
Display Time In Invoice,
Display the company CNAS employer article number on printed documents. Legally required on Algerian invoices per Article 11 of the Commercial Code.,Afficher le numéro d'article CNAS de l'employeur de l'entreprise sur les documents imprimés. Obligatoire sur les factures algériennes conformément à l'Article 11 du Code commercial.
Display the company Capital Social (share capital) on printed documents.,Afficher le Capital Social de l'entreprise sur les documents imprimés.
Display the company NIF (Tax ID) on printed documents. Legally required on Algerian invoices per Article 11 of the Commercial Code.,Afficher le NIF (numéro fiscal) de l'entreprise sur les documents imprimés. Obligatoire sur les factures algériennes conformément à l'Article 11 du Code commercial.
Display the company NIS (Statistical ID) on printed documents.,Afficher le NIS (identifiant statistique) de l'entreprise sur les documents imprimés.
Display the company RC (Registre de Commerce) number on printed documents.,Afficher le numéro RC (Registre de Commerce) de l'entreprise sur les documents imprimés.
Dividends Paid,Dividendes versées,
Do not Contact,
Doc ${0} ${1} not set,
Docs,Documents,
Document Name,
Documentation,Documentation,
Does Not Contain,Ne contient pas,
Done,Fini,
Dr.,,
Dr. ${0},
Draft,Brouillon,
Duplicate,Dupliquer,
Duplicate Entry,
Duplicate Template,
Duplicate columns found: ${0},
Duties and Taxes,Charges et taxes,
Dynamic Link,
ERP Sync Items,
ERPNext Sync,
ERPNext Sync Queue,
ERPNext Sync Settings,
Earnest Money,Argent de la caution,
Earnings,,
Eight,,
Eighteen,,
Eighty,,
Electronic Equipments,Équipements électroniques,
Eleven,,
Email,,
Email Address,Adresse électronique,
Emergency Leave,Congé d'urgence,
Employee,Employé,
"Employee ""${0}"" was not found",Employé « ${0} » introuvable,
Employee CNAS,CNAS salarié,
Employee CNAS (9%),CNAS salarié (9 %),
Employee CNAS contribution rate as a percentage of gross salary. Default 9%.,Taux de cotisation CNAS salarié en pourcentage du salaire brut. Par défaut 9 %.,
Employee Name,Nom de l'employé,
Employee is required to compute the salary slip payroll,Un employé est requis pour le calcul de la paie,
Employees,,
Employer CNAS,CNAS employeur,
Employer CNAS (26%),CNAS employeur (26 %),
Employer CNAS contribution rate as a percentage of gross salary. Default 26%.,Taux de cotisation CNAS employeur en pourcentage du salaire brut. Par défaut 26 %.,
Employment,,
Employment Type,Type d'emploi,
Empty,Vide,
Empty file selected,
Enable Barcodes,
Enable Batches,
Enable Coupon Code,
Enable Discount Accounting,Activer la gestion des réductions,
Enable ERPNext Sync,
Enable Form Customization,
Enable Inventory,Activer l'inventaire,
Enable Invoice Returns,
Enable Item Enquiry,
Enable Item Group,
Enable Lead,
Enable Loyalty Program,
Enable POS Without Inventory,
Enable Partial Payment,
Enable Partial payment to pay partial amount,
Enable Point of Sale,
Enable Price List,
Enable Pricing Rule,
Enable Serial Number,
Enable UOM Conversion,
Enabled,,
Enabled For,
End Date,Date de fin,
Endpoints,,
Enter Country to load States,Entrez le Pays pour charger le département,
Enter State,Entrez le département,
Enter barcode,
Enter weight barcode,
Entertainment Expenses,Dépenses liées au divertissement,
Entry,,
Entry Currency,
Entry Label,
Entry No,Entrée N°,
Entry No.,
Entry Type,Type d'entrée,
Entry has Grand Total ${0}. Please verify amounts.,
Equity,Capitaux Propres,
Error,Erreur,
Exchange Gain/Loss,Gain/Perte d'échange,
Exchange Rate,Taux de change,
Excise Entry,Entrée d'acquis,
Existing Company,
Expand,Développer,
Expected Amount,
Expense,Dépenses,
Expense Account,Compte de dépenses,
Expenses,Dépenses,
Expenses Included In Valuation,Dépenses incluses dans la valorisation,
Expired,,
Expiry Date,
Expiry Duration,
Export,Exporter,
Export Failed,Export Échoué,
Export Format,
Export Successful,Export réussi,
Export Wizard,
FBooks Integration Version,
Failed,,
Failed to load batches,
Fax,Fax,
Features,,
Feb,,
February,Février,
Fetch Data From ERPNext,
Fetch From ERPNext Queue,
Field,Champ,
Fieldname,Nom du champ,
Fieldname ${0} already exists for ${1},
Fieldname ${0} already used for Custom Field ${1},
Fieldtype,,
Fifteen,,
Fifty,,
File ${0} does not exist.,
File selection failed,
Fill,,
Filter,Filtre,
Filter by Group,
Financial Year,Exercice,
First Name,Prénom,
Fiscal Year,Année fiscale,
Fiscal Year End Date,Date de fin de l'année fiscale,
Fiscal Year Start Date,Date de début de l'année fiscale,
Five,,
Fix Failed,
Fixed Asset,Actif Fixe,
Fixed Assets,Actifs fixes,
Float,,
Floor,,
Floor for the professional expense abatement (DZD). Narrow-band smoothing only — see code comment in payroll.ts. Not applied to match the official worked example.,Plancher de l'abattement pour frais professionnels (DZD). Lissage à bande étroite uniquement — voir le commentaire dans payroll.ts. Non appliqué pour correspondre à l'exemple officiel.,
Following cells have errors: ${0}.,
Following links do not exist: ${absentLinks .map((l) =>,
Font,Police,
Footer Content,Contenu du pied de page
Footer Height (cm),Hauteur du pied de page (cm)
Footer Image,
Footer Mode,Mode de pied de page
"Footer content: text for Text mode, image file path for Image mode, or raw HTML for HTML mode. Supports {{ print.field }} interpolation.","Contenu du pied de page : texte pour le mode Texte, chemin de fichier image pour le mode Image, ou HTML brut pour le mode HTML. Prend en charge l'interpolation {{ print.field }}."
For Purchase,
For Sales,
Forbidden Error,
Form Section,
Form Tab,
Form Type,
Forty,,
Four,,
Fourteen,,
Fr,Ve,
Fraction,Fraction,
Fraction Units,Unités de fractionnement,
Frappe Books does not have access to the selected file: ${0},
Free Item,
"Free item ""${0}"" was not added due to zero quantity"
Free items out of stock: ${0},
Freight and Forwarding Charges,Frais de fret et d'expédition,
From,,
From Account,Du compte,
From Date,De la date,
From Lead,
From Loc.,
From Year,De l'année,
Full Name,Nom complet,
Full-time,Temps plein,
Furnitures and Fixtures,Mobilier et accessoires,
G50 - IRG Declaration,G50 - Déclaration d'IRG,
GST,,
GST Registration,
GSTIN,,
GSTIN No.,N° GSTIN,
GSTR1,GSTR1,
GSTR2,GSTR2,
Gain/Loss on Asset Disposal,Gain/Perte sur la cession d'actifs,
General,Général,
General Ledger,Registre comptable général,
Get Started,Commencez,
Global,,
Go back to the previous page,
Gram,,
Grand Total,Total général,
Greater Than,Plus grand que,
Green,Vert,
Grid View,
Gross Salary,Salaire brut,
Gross Wages,Salaires bruts,
Group By,Grouper par,
HSN/SAC,,
HSN/SAC Code,Code HSN/SAC,
HTML,,
Half Yearly,Semestriel,
Half Years,Semestres,
Half-day,Demi-journée,
Has Batch,
Has Serial Number,
Header Content,Contenu de l'en-tête
Header Footer,
Header Height (cm),Hauteur de l'en-tête (cm)
Header Image,
Header Mode,Mode d'en-tête
"Header content: text for Text mode, image file path for Image mode, or raw HTML for HTML mode. Supports {{ print.field }} interpolation."
Height (in cm),Hauteur (en cm),
Held,,
Held Button Colour,
Help,Aide,
Hex Value,Valeur hexadécimale,
Hidden values will be visible on Print on.,
Hide Get Started,Cacher 'Commencez',
Hide Group Amounts,Cacher les montants de groupes,
Hide Month/Year,
Hide Unavailable Items,
Hides the Get Started section from the sidebar. Change will be visible on restart or refreshing the app.,Masque la section 'Commencez' de la barre latérale. Le changement sera visible au redémarrage ou au rafraîchissement de l'application.,
Hire Date,Date d'embauche,
Hold Q and type digits to set selected item quantity,
Holiday,,
Hour,Heure,
Hours,Heures,
Hours Worked,Heures travaillées,
Housing,,
Hundred,,
ID,ID,
INR,,
IRG (Income Tax),IRG (Impôt sur le revenu),
IRG Bracket 1 Limit,Limite de la tranche d'IRG 1,
IRG Bracket 1 Rate,Taux de la tranche d'IRG 1,
IRG Bracket 2 Limit,Limite de la tranche d'IRG 2,
IRG Bracket 2 Rate,Taux de la tranche d'IRG 2,
IRG Bracket 3 Limit,Limite de la tranche d'IRG 3,
IRG Bracket 3 Rate,Taux de la tranche d'IRG 3,
IRG Bracket 4 Rate,Taux de la tranche d'IRG 4,
IRG Brackets,Tranches d'IRG,
IRG Monthly Declaration (G50),Déclaration mensuelle d'IRG (G50),
"If any entry form is open, save the details. Otherwise, save the invoice."
"If any entry form is open, your entry will be canceled. Otherwise the selected items will be removed."
Ignore Pricing Rule,
Image,Image,
Import Complete,
Import Data,Importer les données,
Import Data.,
Import Type,Type d'import,
Import Wizard,
"Importer not set, reload tool"
In stock,
Inactive,Inactif,
Include Cancelled,Ajout annulé,
Income,Revenu,
Income Account,Compte de revenus,
"Income tax rate (%) for the 0% band — 0 to 30,000 DZD.",Taux d'impôt sur le revenu (%) pour la tranche à 0 % — de 0 à 30 000 DZD.,
"Income tax rate (%) for the 23% band — 30,001 to 120,000 DZD.",Taux d'impôt sur le revenu (%) pour la tranche à 23 % — de 30 001 à 120 000 DZD.,
"Income tax rate (%) for the 27% band — 120,001 to 360,000 DZD.",Taux d'impôt sur le revenu (%) pour la tranche à 27 % — de 120 001 à 360 000 DZD.,
"Income tax rate (%) for the top bracket — above 360,000 DZD.",Taux d'impôt sur le revenu (%) pour la tranche supérieure — au-delà de 360 000 DZD.,
Increase print template display scale,
Indigo,,
Indirect Expenses,Dépenses indirectes,
Indirect Income,Revenu indirect,
Inflow,Revenus,
Initial Sync Data,
Instance Id,Id de l'Instance,
Insufficient Quantity,
Insufficient Quantity.,
Insufficient Quantity. Item ${0} has only ${1} quantities available. you selected ${2},
Int,,
Integration Error Log,
Interested,,
Intergrated Tax,Taxe intégrée,
Internal Precision,Précision interne,
Invalid HSN Code.,
Invalid Key Error,
Invalid Quantity for Item ${0},
Invalid barcode value ${0}.,
Invalid value ${0} for ${1},Valeur ${0} invalide pour ${1},
Invalid value found for ${0},
Inventory,,
Inventory Items,
Inventory Settings,
Investments,Investissements,
Invoice,Facture,
Invoice Created,Facture créée,
Invoice Date,Date de la facture,
Invoice Item,
Invoice No,N° de facture,
Invoice No.,N° de facture.,
Invoice Value,Valeur de la facture,
Invoices,Factures,
Is,Est,
Is Coupon Code Based,
Is Custom,
Is Empty,Est vide,
Is Enabled,
Is Group,Est un groupe,
Is Landscape,
Is Not,N'est pas,
Is Not Empty,N'est pas vide,
Is POS Shift Open,
Is Price List Enabled,
Is Pricing Rule Enabled,
Is Recursive,
Is Required,
Is Sync Enabled,
Is Whole,Est complet,
Item,Article,
Item ${0} has Zero Quantity,
Item ${0} is a batched item,
Item ${0} is not a batched item,
Item ${0} is out of stock (quantity is zero),
Item ${0} not found,
Item ${0} not in Stock,
Item ${0} only has ${1} Quantity,
Item ${0} only has ${1} Quantity in batch ${2},
Item Code,
Item Code Digits,
Item Description,Description de l'Article,
Item Discounts,
Item Enquiry,
Item Group,
Item Name,Nom de l'Article,
Item Prices,
Item Visibility,
Item enquiry submitted,
Item with From location not found,
Item with To location not found,
Item with barcode ${0} not found.,
ItemCode,,
Items,Articles,
Jan,,
January,Janvier,
John Doe,
Journal Entries,Entrées du livre des comptes,
Journal Entry,Entrée du livre des comptes,
Journal Entry Account,Compte du livre des comptes,
Journal Entry Number Series,
Journal Entry Print Template,
Jul,,
July,Juillet,
Jun,,
June,Juin,
Key Hints,
Kg,,
Label,,
Language,Langage,
Last Name,Nom,
Late,En retard,
Lead,,
Leave Application,
Leave Applications,
Left Index,Index de Gauche,
Legal Deadline,Date limite,
Legal Expenses,Frais juridiques,
Less Filters,Moins de filtres,
Less Than,Moins de,
Liability,Passifs,
Limit,,
Link,,
Link Validation Error,
Linked Entries,
List,Lister,
List View,
Load an existing company from your computer,
Loading Report...,Charger un Rapport...,
Loading instance...,
Loading...,Chargement...,
Loans (Liabilities),Prêts (Passifs),
Loans and Advances (Assets),Prêts et avances (actifs),
Locale,,
Location,,
Location Name,
Logo,,
Loyalty Point Entry,
Loyalty Points,
Loyalty Points Redemption,
Loyalty Program,
Loyalty Program Tier,
Loyalty program has expired and cannot be applied,
Loyalty program has expired or reached maximum usage,
MISSING_NIN,NIN MANQUANT,
Make Entry,Ajouter une entrée,
Make Payment On Submit,
Make Purchase Receipt On Submit,
Make Shipment On Submit,
Mandatory Error,
Manufacture,,
Manufacture Date,
Mar,,
"Mar 23, 2022"
March,Mars,
Mark ${0} as submitted?,Valider ${0} ?,
Marketing Expenses,Dépenses de marketing,
Material Issue,
Material Receipt,
Material Transfer,
Maternity,Maternité,
Max Amount,
Max Qty (As Per Stock Unit),
Maxed,,
Maximum Amount should be greater than the Minimum Amount.,
Maximum Amount should be lesser than Pricing Rule's Maximum Amount,
Maximum Quantity should be greater than the Minimum Quantity.,
Maximum Use,
May,Mai,
Meter,,
Million,,
Min Amount,
Min Qty (As Per Stock Unit),
Minimum Amount should be greather than the Pricing Rule's Minimum Amount.,
Minimum Amount should be less than the Maximum Amount.,
Minimum Quantity should be less than the Maximum Quantity.,
Minimum Total Spent,
Misc,Divers,
Miscellaneous,,
Miscellaneous Expenses,Dépenses diverses,
Mo,Lu,
Mobile,,
Modern,,
Modified,Modifié,
Modified By,Modifié par,
Month,Mois,
Monthly,Mensuel,
Months,Mois,
More,,
More Filters,Plus de filtres,
More shortcuts will be added soon.,
Movement Type,
NIF,NIF,
NIN,NIN,
NIN (required),NIN (requis),
NIS,NIS,
Name,Nom,
Navigate,Naviguer,
Need ${0} Serial Numbers for Item ${1}. You have provided ${2},
Net Pay,Salaire net,
Net Social,
Net Total,Total Net,
New ${0},Nouveau ${0},
New ${0} ${1},
New Account,Nouveau Compte,
New Company,
New Entry,Nouvelle entrée,
New Template,
Nine,,
Nineteen,,
Ninety,,
No,Non,
No Display Entries Found,
No Print Templates not found for entry type ${0},
No Value,
No Values to be Displayed,Aucune Valeur à afficher,
No entries found,Aucune entrée trouvée,
No entries were imported.,
No expenses in this period,Aucune dépense dans cette période,
No filters selected,Aucun filtre sélectionné,
No linked entries found,
No results found,Aucun résultat trouvé,
"No results found, disable filters","Aucun résultat trouvé, désactiver les filtres"
No rows added. Select a file or add rows.,
No transactions yet,Aucune transaction pour le moment,
Non Active Serial Number ${0} cannot be used as Manufacture raw material,
Non Active Serial Number ${0} cannot be used for Material Issue,
Non Active Serial Number ${0} cannot be used for Material Transfer,
Non Inactive Serial Number ${0} cannot be used for Material Receipt,
Non-Inventory Items,
